Date,SP500
33147,-0.00426
33178,0.06464
33208,0.02786
33239,0.04355
33270,0.07151
33298,0.02422
33329,0.00237
33359,0.04314
33390,-0.04581
33420,0.04662
33451,0.02369
33482,-0.01674
33512,0.01344
33543,-0.04029
33573,0.11437
33604,-0.01864
33635,0.01295
33664,-0.01944
33695,0.02941
33725,0.0049
33756,-0.01487
33786,0.04085
33817,-0.02047
33848,0.01175
33878,0.00345
33909,0.03406
33939,0.01227
33970,0.00831
34001,0.01363
34029,0.0211
34060,-0.02418
34090,0.02675
34121,0.00293
34151,-0.00402
34182,0.03794
34213,-0.00766
34243,0.02068
34274,-0.00954
34304,0.01209
34335,0.03399
34366,-0.02714
34394,-0.0436
34425,0.01283
34455,0.01641
34486,-0.02451
34516,0.03284
34547,0.04099
34578,-0.02445
34608,0.02247
34639,-0.03642
34669,0.01484
34700,0.02593
34731,0.03898
34759,0.02951
34790,0.02945
34820,0.03997
34851,0.02323
34881,0.03316
34912,0.00251
34943,0.04221
34973,-0.00358
35004,0.0439
35034,0.01926
35065,0.03404
35096,0.00927
35125,0.00962
35156,0.01475
35186,0.02579
35217,0.00381
35247,-0.04418
35278,0.02109
35309,0.05628
35339,0.02758
35370,0.07559
35400,-0.01982
35431,0.06248
35462,0.00784
35490,-0.04109
35521,0.0597
35551,0.06088
35582,0.0448
35612,0.07956
35643,-0.05602
35674,0.05476
35704,-0.0334
35735,0.04629
35765,0.01717
35796,0.01106
35827,0.07212
35855,0.05121
35886,0.01006
35916,-0.01719
35947,0.04062
35977,-0.01065
36008,-0.14458
36039,0.06406
36069,0.08134
36100,0.06061
36130,0.05763
36161,0.04182
36192,-0.03108
36220,0.04001
36251,0.03873
36281,-0.02361
36312,0.0555
36342,-0.03122
36373,-0.00495
36404,-0.02741
36434,0.06328
36465,0.02033
36495,0.0589
36526,-0.05024
36557,-0.01893
36586,0.09783
36617,-0.03009
36647,-0.02052
36678,0.02465
36708,-0.01563
36739,0.06211
36770,-0.05279
36800,-0.00423
36831,-0.07884
36861,0.00489
36892,0.03548
36923,-0.09118
36951,-0.06335
36982,0.07771
37012,0.0067
37043,-0.02434
37073,-0.00984
37104,-0.0626
37135,-0.08075
37165,0.01907
37196,0.07671
37226,0.00876
37257,-0.01459
37288,-0.01929
37316,0.03761
37347,-0.06063
37377,-0.00737
37408,-0.07124
37438,-0.07795
37469,0.00657
37500,-0.10868
37530,0.08802
37561,0.05886
37591,-0.05876
37622,-0.0262
37653,-0.015
37681,0.00971
37712,0.08237
37742,0.05269
37773,0.0128
37803,0.01763
37834,0.0195
37865,-0.01062
37895,0.05657
37926,0.0088
37956,0.05244
37987,0.01835
38018,0.0139
38047,-0.01509
38078,-0.0157
38108,0.01372
38139,0.01944
38169,-0.0331
38200,0.00403
38231,0.01083
38261,0.01528
38292,0.04046
38322,0.03403
38353,-0.02438
38384,0.02104
38412,-0.01771
38443,-0.01897
38473,0.03182
38504,0.00142
38534,0.0372
38565,-0.00912
38596,0.0081
38626,-0.01667
38657,0.03782
38687,0.00035
38718,0.02648
38749,0.00271
38777,0.01245
38808,0.01343
38838,-0.02878
38869,0.00136
38899,0.00617
